id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3SwdfgMFuDAOMgyfV1nkfh,"['Adé Hakim', 'Goya Gumbani']",Let Me Know,3,True,0.398,0.503,0.375,0.591,0.0019,0.373,0.495
3dy42FIFCYq7og8OvSYoJR,['Adé Hakim'],Leap of Faith,3,True,0.403,0.6,0.271,0.925,0.305,0.435,0.664
3CdfO9MZhwlfDv2XPSBvoL,"['Adé Hakim', 'Nappy Nappa']",Friend of Mine,1,True,0.725,0.774,0.169,0.768,0.204,0.23,0.91
55ZKJru5Jvb1u6dRIKo3Ln,['Adé Hakim'],What Can They Really Do?,2,True,0.725,0.655,0.292,0.473,0,0.373,0.613
5qlvnNr5mzVyRak2mkFCwH,['Adé Hakim'],You Got The Power! (Antidote),2,True,0.533,0.895,0.204,0.744,0.218,0.604,0.79
6Oxz8DGxq3KcTOEeFovIPh,"['Adé Hakim', 'Camden Malik']",Well Rounded,2,True,0.484,0.664,0.306,0.41,0.000742,0.592,0.803
5elX90PpLJ9k487dgMCbQ9,"['Adé Hakim', 'Joygill Moriah', 'Zola Aminah']",CREATIVE CONTROL INTERLUDE,2,True,0.615,0.788,0.0673,0.231,0.499,0.134,0.365
27zWJDyn7z1SiniTrUZRup,"['Adé Hakim', 'Alphonse', 'Master Holy']",Follow Through,1,True,0.619,0.689,0.302,0.762,0,0.171,0.741
3vmuEQneRB8SzMHzIGwcZy,"['Adé Hakim', 'Nikasia']",Welcome to the World Wide Web,4,True,0.68,0.734,0.0398,0.62,0.359,0.661,0.64
18r2dN2kQ2QwSZDZWgymQN,['Adé Hakim'],Mind Body Soul,1,True,0.784,0.858,0.269,0.52,0,0.76,0.91
2viZlj5PhdWnB9jK1TgWIS,['Adé Hakim'],Hey Lady,1,True,0.683,0.544,0.0611,0.885,0.000384,0.0998,0.875
6C9GWchpIFt3Z6fKxPU7Bi,"['Adé Hakim', 'Taphari', 'Master Holy']",Buddha,2,True,0.478,0.832,0.428,0.872,0.000663,0.237,0.522
1kp52h8jHz5RF2w5rd3fkw,"['Adé Hakim', 'Saji']",Sheesh,3,True,0.442,0.487,0.0892,0.563,0.833,0.112,0.632
6qbxhiCeOrgYnxqaVsFvJO,['Adé Hakim'],WA:KE UP!,1,True,0.662,0.679,0.207,0.644,0.0421,0.254,0.541
7L6mJ32XmwnIf4kxo0b6zF,['Adé Hakim'],Love is Worth My Time,3,True,0.766,0.572,0.257,0.499,0,0.446,0.428
5auXrRq2VWOz4UyWNwahUC,['Adé Hakim'],Sticking to My Roots,2,True,0.5,0.789,0.114,0.887,9.16e-06,0.305,0.684
6JseLJA5huxJL4EZXqe3nF,['Adé Hakim'],Happy Shoutout,0,True,0.446,0.729,0.313,0.836,2.74e-06,0.584,0.734
