id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3EvxYnaPHmXTCcFZwxFtnA,"['LSDREAM', 'Z-Trip']",MOON LEGS,35,True,0.695,0.817,0.277,0.0208,0.00259,0.397,0.366

4X8P4arz5eir4T1VdieWvv,"['Earl Sweatshirt', 'The Alchemist']",Heat Check,57,True,0.554,0.562,0.19,0.809,0,0.62,0.4

08vlprFBmwh9TQnjXUtZDG,['Jordan Ward'],FAMJAM4000,67,False,0.869,0.574,0.0623,0.467,0.339,0.15,0.725

0ymjnhjRUHIVcXe22DpWnP,['GEE LEE'],JAY GEE,44,False,0.853,0.134,0.297,0.625,0.901,0.113,0.549

37etCHGKSycDXh5YlTfTFY,"['Earl Sweatshirt', 'The Alchemist']",Mac Deuce,56,True,0.401,0.665,0.0789,0.614,0.0244,0.211,0.563

7JiVzZvbjvJyOHleK5DhD3,['MIKE'],Dambe,48,True,0.593,0.537,0.473,0.127,0.333,0.6,0.911

1kiRPwkkAHF35WJFhU8uJm,['$ean Wire'],Ultra,4,True,0.707,0.546,0.157,0.292,0,0.126,0.56

3Q8MlpSWDERqSAZUJILgZz,"['NugLife', 'Tha God Fahim']",HYPNOSIS FREESTYLE,30,True,0.743,0.697,0.317,0.231,2.09e-06,0.197,0.586

4rxD9Ar3OlsgGOnblWUKqr,"[""Dre'es""]",Warm,63,False,0.662,0.296,0.0301,0.887,0.111,0.119,0.434

6cbAELCAcTFXFEa8OaQKNW,"['Memphis Cult', 'Groove Dealers', 'SPLYXER']",9mm - Cassette version,61,True,0.764,0.961,0.223,0.683,0.000109,0.113,0.609

1mfdz3PeXUGuQFO1Q0huO7,['Marion'],Exchange - Remix,13,True,0.455,0.421,0.136,0.339,0,0.11,0.337

7Kv0yPSr550uUxbAwAhH01,['Starjunk 95'],Groove District,57,False,0.776,0.849,0.0392,0.0769,0.156,0.157,0.203

573QxTYkJNhZMh8GjipJsO,"['Jiles', 'Vinyl Villain']",Sauce Gardner,11,True,0.572,0.896,0.447,0.516,0.0884,0.129,0.286

0gQxkY5qip1aE3Oamibu6i,['Nephew Hesh'],Reasons,1,False,0.646,0.603,0.11,0.187,0.384,0.266,0.77

4ALUT7jcNAbcTDmlvHpSWD,['XiiiDolor'],Sex Is A Sin,43,True,0.566,0.941,0.126,0.0904,7.95e-05,0.362,0.475

1sNxI94OyGy3D10nsKEYcB,"['AKAI SOLO', 'Pink Siifu']",2k4eva,23,True,0.533,0.732,0.34,0.572,0,0.562,0.573

2KoR4BvCR2J2E5rYaCvNU8,['Reece Geller'],Dial Tone,24,True,0.698,0.627,0.213,0.704,0,0.155,0.671

4PPUbqiCvcuepzGuVwqKQz,"['Cavalier', 'Quelle Chris']",Sniz and Woop,25,True,0.524,0.627,0.273,0.862,0.000139,0.501,0.389

32m2WIBgCeClCIKP6FHX5m,"['BlackDoe', 'Chaanill', 'Yella']",Air - Mixed,1,False,0.687,0.497,0.212,0.477,0,0.193,0.542

0a5PrKhmAlB2ori4dZEKPL,"['Raff Riff highroller', 'Bronson Action Bam Bam']",Bird on a Wire,37,True,0.628,0.668,0.146,0.0638,0,0.0537,0.598

78zRFpBhk3isxIPfsypQOu,['Anycia'],HOMEWRECKER,39,True,0.731,0.559,0.229,0.297,0,0.0917,0.538

7IyZckBiqfLmjfnmjrwqRA,['insyt.'],Gemini,1,True,0.741,0.696,0.254,0.0361,0,0.171,0.474

7AQMFaE2pp9kjDTU5Tg66T,['FLOWERPATCH!'],JPEGMAFIA Was Right About Morrissey,33,False,0.515,0.982,0.0519,0.506,0.87,0.123,0.783

5rQxF5XeBZZfhH7Vq6B7e2,"['Kahlil Blu', 'Fifthpower']",THE END,12,False,0.703,0.852,0.34,0.479,4.89e-06,0.0897,0.824

4JiLpvvnPiQtsf4izF1SQ5,['Liv.e'],Wild Animals,47,True,0.672,0.514,0.03,0.103,0.00013,0.0991,0.549

1MPYXBsVYoAwCiJfitAD0H,['Nephew Hesh'],above,0,True,0.486,0.651,0.307,0.31,0.00844,0.231,0.405

5zXZyDfMKE2cj71yCJMEH0,"['Van Buren Records', 'AzizTheShake', 'Jiles', 'Luke Bar$', 'FELIX!', 'invada']",JUMPSTREET,10,True,0.787,0.686,0.3,0.0524,0.000106,0.178,0.552

0xfbz0ArDclEvBokbmUtZc,['98preem'],Espresso Café,2,True,0.738,0.467,0.31,0.444,1.57e-05,0.16,0.744

3AWzMxXH40pxWrqeLttTAO,['MIKE'],Airdrop,31,True,0.377,0.817,0.0695,0.515,0,0.631,0.728

4CCrZzRdeWYrWJ0DoN4XCa,['TiaCorine'],FreakyT,65,True,0.806,0.542,0.064,0.241,0.000494,0.113,0.14

4n358XQMHXd0xi6NazWdxr,"['KAYTRANADA', 'GoldLink', 'Ari PenSmith', 'Eight9FLY']",Vex Oh (feat. Eight9FLY),64,True,0.742,0.645,0.386,0.148,2.86e-05,0.0861,0.804

6DJ3dfsY7fOU161ZMjzWIH,['Hikaru Utada'],Automatic,59,False,0.707,0.87,0.0478,0.0625,0.000109,0.142,0.708

0pAH4gzhf7UcnFQbS5Cr9u,"['SwuM', 'Jinsang']","In Space, Alone",24,False,0.659,0.611,0.166,0.168,0.901,0.138,0.397

27bzzaiF1f6CXd13jc8QEy,"['MIKE', 'Larry June']",Golden Hour - feat. Larry June,46,True,0.226,0.896,0.128,0.0402,0,0.286,0.604

5mmVLH57t3gZarjOVFyB65,['0P1UM*'],Mr.Fortune,48,True,0.588,0.427,0.11,0.586,0,0.0765,0.546

3dSZcr7SWwFdOmY0r3Ryih,['Qendresa'],Be Mine,45,False,0.652,0.642,0.0368,0.0652,0.00198,0.29,0.63

4cOVTA2GfYTHw99AJDQpHo,"['KAYTRANADA', 'Tinashe']",The Worst In Me,57,True,0.784,0.645,0.402,0.00936,0.000132,0.117,0.59

60HR5sYmki1HFC0JbHrAhw,['RUBY DA $LOTH'],WΣLCOMΣ TΘ H3LL,23,True,0.724,0.871,0.0695,0.144,6.69e-05,0.377,0.202

7CSgpZ2zoX55IXbRvtWTiL,['Take'],Tuesday Never Comes,1,False,0.562,0.556,0.158,0.0212,0.123,0.392,0.338

7wX1OTzBTiV4Lup0rEBlOA,"['Serum', 'Voltage']",Paradise,13,False,0.654,0.896,0.0526,0.0531,0.897,0.47,0.102

23vFAarJZb0hoCfF2uURzp,['Glokk40Spaz'],Fuck Sum,55,True,0.612,0.373,0.0629,0.0217,0,0.113,0.0976

2EfmLcdpeWevr5JT7bEfMq,"['conswank', 'My Favorite Color']",Blunt Packed to my Head,21,True,0.531,0.788,0.214,0.128,2.82e-05,0.133,0.649

3vy3ld7my2hDUTv4u7KIJR,['Okay Kaya'],Mother Nature's Bitch,62,False,0.729,0.588,0.0339,0.176,0.582,0.216,0.749

4AjBYexFlWp93mTW1K4sJw,['7DASAI'],I love your oboe,3,False,0.49,0.67,0.327,0.0326,0,0.253,0.38
